REGION,DISTRICT,TRANSACTION_DATE,AMOUNT,METER_NUMBER,ACCOUNT_NUMBER,TRANSACTION_ID,TELCO,METRE_TYPE,METER_MAKE,Channels,PAYMENT_CHANNEL,Payment_Completed,Recharge_Fulfilled,Status,Status_Description,SPN,rechargeSource,Tracker
ACCRA WEST,Achimota ,20-02-1999,20,P181161752,735464363,5RdhJJGN8p,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203552698,mobile-app,1
ACCRA EAST,Legon ,20-02-1999,40,19071676,702471559,cKsf4KQmHz,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200255962,mobile-app,1
TEMA,South Tema ,17-02-1999,200,P191074840,736126461,fMecsaW8Nk,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203665190,mobile-app,1
CENTRAL,Cape-Coast ,17-02-1999,10,P201150140,751902301,FMfpnWZqTW,mtn,Empower Smart,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205325087,mobile-app,1
TEMA,Afienya ,17-02-1999,100,P19305054,748261820,zMn6q7Mx7k,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204958171,mobile-app,1
TEMA,Prampram ,17-02-1999,90,P20309264,750783375,ZmRGEPH3SE,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205228329,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,30,19067187,702471875,ZmRp9yD3CB,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200258562,mobile-app,1
ACCRA WEST,Ablekuma ,17-02-1999,30,P19313201,750079524,pwb3QQZ9Dk,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205154494,mobile-app,1
ACCRA EAST,Mampong ,17-02-1999,20,P8316368,743600804,SReaF2anqW,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204478016,mobile-app,1
ACCRA EAST,Dodowa ,17-02-1999,20,141120967,713252454,srmer2YCpX,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201347522,mobile-app,1
CENTRAL,Winneba ,17-02-1999,30,P1901000041,738375751,S2PTrFqQXW,mtn,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203912808,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,150,P20323182,714315851,6DbRDTNYHr,vodafone,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201453064,mobile-app,1
ACCRA WEST,Bortianor ,17-02-1999,50,P191100908,749970948,6dBYQS6FEK,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205143037,mobile-app,1
ACCRA WEST,Kaneshie ,17-02-1999,20,24813341765,735186037,6dsKNZ9AJm,mtn,HUAWEI-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203523401,mobile-app,1
TEMA,Ashaiman ,20-02-1999,10,P191138022,711441560,Ky4fYDzjTx,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201165779,mobile-app,1
ACCRA EAST,Mampong ,20-02-1999,10,P181119746,743158939,eysSPBD7cX,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204429049,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,2,18015086,702462100,mxHS62X95q,vodafone,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200248105,mobile-app,1
ACCRA WEST,Achimota ,17-02-1999,10,P201118281,735048426,MxnGZsdda3,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203403142,mobile-app,1
TEMA,Afienya ,17-02-1999,150,P16335511,737316242,MXNkbkPzj3,vodafone,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203796901,mobile-app,1
TEMA,Afienya ,20-02-1999,50,P161154045,737373101,WqczDDXXjY,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203801730,mobile-app,1
ACCRA EAST,Roman Ridge ,17-02-1999,20,P201129818,748173917,kyq686Gebk,vodafone,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204949016,mobile-app,1
TEMA,Afienya ,20-02-1999,10,P191170111,748671060,tXs8pffy9s,vodafone,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205001588,mobile-app,1
TEMA,Ashaiman ,20-02-1999,50,P19322335,711785166,p6ttNycx2M,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201199277,mobile-app,1
TEMA,Afienya ,17-02-1999,2,P191054077,746301371,6mbtWeChBS,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204759257,mobile-app,1
ACCRA EAST,Legon ,17-02-1999,200,P181119452,746395501,6MrK4nnaP9,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204768778,mobile-app,1
EASTERN,Mpraeso ,09-05-1999,250,211278852,720202936,qtz9snedn4,ECG,POSTPAID,NON-SLT,POS,POS Balance,1,1,completed,,,offlineCashier,1
TEMA,South Tema ,22-02-1999,20,P191068312,712341539,jCM67DwwR9,airteltigo,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201254879,mobile-app,1
ACCRA WEST,Ablekuma ,22-02-1999,200,P191102586,752497948,JCNMD9RDFX,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205381740,mobile-app,1
CENTRAL,Winneba ,16-02-1999,2,P201144243,754132389,JscPATaKP8,mtn,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205530197,mobile-app,1
TEMA,South Tema ,16-02-1999,16,P191069187,712725816,JsDWjNdjj9,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201294457,mobile-app,1
TEMA,Prampram ,16-02-1999,20,P171012756,742784205,jSeF9erSYX,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204388409,mobile-app,1
ACCRA EAST,Teshie ,16-02-1999,20,P171041483,729577492,jsfrbH6QDT,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203031827,mobile-app,1
ACCRA EAST,Teshie ,16-02-1999,100,P181125758,744504232,jsfWzbmeGr,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204572301,mobile-app,1
ACCRA EAST,Legon ,16-02-1999,300,151074629,702390145,jsGfyZFxF6,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200240504,mobile-app,1
ACCRA WEST,Kaneshie ,16-02-1999,60,24813132339,741154298,JSgZp4JtMG,vodafone,HUAWEI-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204212529,mobile-app,1
ACCRA WEST,Ablekuma ,16-02-1999,15,P19315498,730509154,JsheaEjTqZ,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203086500,mobile-app,1
ACCRA EAST,Legon ,16-02-1999,50,P201225521,749522440,JsHSQJZDK9,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205094509,mobile-app,1
TEMA,Nungua ,17-02-1999,10,P191110398,727265725,JSJMH7XApy,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202751758,mobile-app,1
TEMA,South Tema ,16-02-1999,20,P191042527,712612960,JSKp7NGWj9,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201282857,mobile-app,1
TEMA,Nungua ,16-02-1999,10,P191063460,727293891,JsM2dwfBCr,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202753473,mobile-app,1
TEMA,South Tema ,16-02-1999,30,P191068003,712786201,jsnpa2mdBT,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201300465,mobile-app,1
TEMA,Nungua ,16-02-1999,60,P191089697,711959052,JspBQw2x3W,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201217166,mobile-app,1
TEMA,Afienya ,14-02-1999,25,P161189191,744312499,JSPDJMEWz2,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204552100,mobile-app,1
ACCRA EAST,Legon ,13-03-1999,14,P161198585,739226342,JJEbAkJwPE,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204004588,mobile-app,1
TEMA,Nungua ,11-03-1999,30,P191151383,727253920,JrQEmkW8ND,vodafone,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202749478,mobile-app,1
ACCRA EAST,Legon ,12-03-1999,10,P181126588,744179392,zGRsFZsW44,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204537984,mobile-app,1
ACCRA EAST,Dodowa ,12-03-1999,50,P191180829,746971928,M4QTtk7Esg,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204823713,mobile-app,1
ACCRA EAST,Dodowa ,12-03-1999,350,P191180829,746971928,6Rd2TwDp9b,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204823713,mobile-app,1
ACCRA WEST,Achimota ,11-03-1999,100,P201145088,750324930,GaQArEEy8q,mtn,Empower Smart,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205181283,mobile-app,1
ACCRA EAST,Roman Ridge ,29-05-1999,33535.92,15305709,741504020,2.31E+11,TGLPMT,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA WEST,Ablekuma ,31-03-1999,18,P191102928,750411583,frW2PrMHXzgc,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205190525,mobile-app,1
TEMA,South Tema ,06-04-1999,20,P191105501,749638844,4Cyy8B6YEj5n,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205107199,mobile-app,1
ACCRA WEST,Ablekuma ,10-05-1999,15,P161179395,729468121,MTNmTyc3cgMg,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203014794,mobile-app,1
TEMA,Afienya ,06-04-1999,47,P171053431,743554261,4dAKNCFc9CCd,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204472597,mobile-app,1
ACCRA WEST,Korle-bu ,06-04-1999,500,P191037023,734203866,4Fg5C5Tsy8ER,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203566323,mobile-app,1
ACCRA WEST,Bortianor ,06-04-1999,50,P191111238,728733750,4hXBdsJK747X,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202971870,mobile-app,1
ACCRA WEST,Bortianor ,06-04-1999,100,P16340685,736526052,4JzASdPDAXKk,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203708190,mobile-app,1
TEMA,Prampram ,06-04-1999,85,P17300616,742356708,4jZZs5eaRTW6,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204341599,mobile-app,1
ACCRA WEST,Bortianor ,06-04-1999,100,P19305065,728617676,4HYCYFcFbDaH,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202925468,mobile-app,1
TEMA,North Tema ,06-04-1999,20,P19305771,711585042,4QcYxmx7CQGj,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201178861,mobile-app,1
TEMA,Prampram ,06-04-1999,110,P20324285,750445906,4RTx8JtRNPFQ,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205194332,mobile-app,1
TEMA,Afienya ,06-04-1999,10,P191113729,748453067,4PRBfJC3RHGe,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204978447,mobile-app,1
TEMA,South Tema ,06-04-1999,48,P191056467,712677464,4WS6SD6BJaFk,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201289318,mobile-app,1
ASHANTI SOUTH,Asokwa ,06-04-1999,1,181201237,743455283,4XDcpZPDf9Z7,ECG,HOLLEY,PREPAID,MOBILE APP,PowerApp Balance,1,0,unknown,,204461887,mobile-app,1
ACCRA WEST,Ablekuma ,06-04-1999,50,P191171083,748726989,54j78qBnEbDT,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205007593,mobile-app,1
VOLTA,Ho ,06-04-1999,100,201312905,753925284,56N4PYQTDSz3,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,USSD,1
ACCRA EAST,Roman Ridge ,06-04-1999,30,P201112951,746504918,594JMc74pAsj,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204779559,mobile-app,1
ACCRA EAST,Adenta ,06-04-1999,45,P201241144,749617901,4X6eKxe3bckR,vodafone,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205104933,mobile-app,1
ACCRA EAST,Legon ,06-04-1999,11,19072041,702475809,4z5x4KmZXD5y,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200259392,mobile-app,1
ACCRA EAST,Adenta ,06-04-1999,50,P161107135,746129921,5P72f53px4Xr,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204741829,mobile-app,1
ACCRA EAST,Teshie ,15-04-1999,30,P191178978,738235894,btp48sx7qgK5,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203896445,mobile-app,1
ACCRA EAST,Teshie ,22-04-1999,50,P181121338,744656410,8r7000694649,afrifanom,SECURE METERS LTD,PREPAID,MOBILE APP,OLTPV,1,1,success,,204588196,oltpv,1
ASHANTI EAST,Mampong(Ashanti East) ,22-04-1999,150,94112400,723244675,8r7000694650,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Akim Oda ,22-04-1999,779,131178486,716533702,8r7000694651,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
ACCRA EAST,Dodowa ,22-04-1999,48,P151059100,736034234,HNw3zKjFHjQe,vodafone,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203654570,mobile-app,1
EASTERN,New Abirem ,02-05-1999,150,141093743,731176560,7001623470,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
ACCRA EAST,Legon ,22-04-1999,20,P171066676,713418071,hnyT3szJe5r9,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201365997,mobile-app,1
ACCRA WEST,Ablekuma ,19-02-1999,150,P171064253,729257023,BrtJhP7PAW,vodafone,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202897581,mobile-app,1
WESTERN,Tarkwa ,02-05-1999,100,201023695,744193935,7001623471,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
EASTERN,Kibi ,13-04-1999,150,161000924,731115993,7001122003,AfrifanomPosAgent,POSTPAID,NON-SLT,POS,OLTPV,1,0,paid,,,oltpv,1
EASTERN,Akim-Tafo ,22-04-1999,450,251151699,722770265,8r7000694656,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA EAST,Adenta ,02-05-1999,4000,13332663,700250171,7001623472,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
ASHANTI EAST,Ejisu ,22-04-1999,1000,201011083,748862494,8r7000694657,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Akwatia ,22-04-1999,100,271082319,720294328,8r7000694658,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Suhum ,22-04-1999,5,161195071,741552123,8r7000694659,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA EAST,Dodowa ,22-04-1999,200,29305744,701676891,8r7000694661,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Koforidua ,22-04-1999,20,24912072832,756602756,8r7000694662,afrifanom,MMS-WASION,PREPAID,MOBILE APP,OLTPV,1,1,success,,205767584,oltpv,1
CENTRAL,Kasoa South ,22-04-1999,400,181010448,706262861,8r7000694664,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA EAST,Adenta ,04-05-1999,50,P161199258,738003222,6BdTz4BY7A6a,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203871016,mobile-app,1
WESTERN,Takoradi ,04-05-1999,20,P181120667,747309526,6EEK83Fjfjem,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204857529,mobile-app,1
TEMA,Ada ,22-04-1999,400,28301607,703522292,8r7000694666,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA WEST,Achimota ,04-05-1999,5,P201141199,731887345,6ezbKnX2DnmW,vodafone,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203262983,mobile-app,1
ASHANTI SOUTH,Obuasi ,22-04-1999,500,101060150,720603462,8r7000694672,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
WESTERN,Tarkwa ,22-04-1999,210,151051993,714933674,8r7000694673,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Asamankese ,22-04-1999,200,9146642,719141252,8r7000694676,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ASHANTI SOUTH,Bekwai ,22-04-1999,250,271039529,717334082,8r7000694679,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
VOLTA,Denu ,22-04-1999,35,201303832,757129897,8r7000694681,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
EASTERN,Suhum ,22-04-1999,150,141109113,740331162,8r7000694682,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA WEST,Nsawam ,22-04-1999,200,191109761,715034668,8r7000694685,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
VOLTA,Ho ,22-04-1999,200,201327710,726204742,8r7000694687,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ASHANTI WEST,Abuakwa ,22-04-1999,100,101064811,724296072,8r7000694689,AfrifanomPosAgent,POSTPAID,NON-SLT,POS,OLTPV,1,1,completed,,,oltpv,1
TEMA,Afienya ,22-04-1999,200,291116847,701987962,8r7000694690,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA WEST,Dansoman ,04-05-1999,10,P191221546,735341193,6GeyJP5dK7Jy,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203519863,mobile-app,1
TEMA,Ada ,22-04-1999,100,8643100,703338742,8r7000694693,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
CENTRAL,Cape-Coast ,22-04-1999,345,141225618,741427473,8r7000694695,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
CENTRAL,Saltpond ,22-04-1999,500,15330089,705276166,8r7000694696,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ASHANTI WEST,Offinso ,22-04-1999,188.25,201344947,743725944,8r7000694697,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ASHANTI WEST,Bibiani ,22-04-1999,228,261115632,703821295,8r7000694698,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
WESTERN,Bogoso ,22-04-1999,5680,14318752,745842177,8r7000694699,afrifanom,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,1,completed,,,oltpv,1
ACCRA EAST,Teshie ,22-04-1999,20,P181118892,738695658,Hp6kKNRK2d2y,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203946206,mobile-app,1
TEMA,Prampram ,22-04-1999,500,P15311654,730873301,HPyPZCDgadEz,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203125946,mobile-app,1
ACCRA EAST,Kwabenya ,22-04-1999,47,P181173329,758208506,HQbmGzP4yTbe,mtn,KAMSTRUP 2,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205933484,mobile-app,1
TEMA,South Tema ,22-04-1999,50,P191065193,712806413,hQCnqkYj4n9T,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201302829,mobile-app,1
ACCRA WEST,Bortianor ,22-04-1999,10,P16340719,742051931,HqSGXRXRg6Gm,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204309067,mobile-app,1
WESTERN,Takoradi ,23-04-1999,10,24012159208,758362006,nH7f95cCAapN,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205950297,mobile-app,1
TEMA,Prampram ,22-04-1999,120,P161199002,736975400,hQYdHNTEaWf8,mtn,KAMSTRUP,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203758513,mobile-app,1
TEMA,South Tema ,22-04-1999,40,P191047520,713124101,HR5qgRdbQAFD,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201334721,mobile-app,1
ACCRA EAST,Dodowa ,03-05-1999,20,P201229621,749675729,22D8Pmz8w3Tn,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205111194,mobile-app,1
TEMA,Nungua ,22-04-1999,1,P191085596,727214515,hrfErRcbec59,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202745611,mobile-app,1
ACCRA EAST,Legon ,22-04-1999,20,19061701,702471461,HRH8pswRQMPm,mtn,Aimir,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200258832,mobile-app,1
ACCRA WEST,Achimota ,22-04-1999,100,P201121098,743252274,hrqfwRrhzd3q,vodafone,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204439401,mobile-app,1
TEMA,Ashaiman ,19-02-1999,30,P161179927,702100521,22D9ZQBnHH,ECG,MBH POWER,PREPAID,MOBILE APP,PowerApp Balance,1,0,unknown,,200211542,mobile-app,1
TEMA,Ashaiman ,22-04-1999,10,P191118715,711642343,HRQR7PqS3tWR,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201185686,mobile-app,1
EASTERN,Koforidua ,23-04-1999,10,P171048735,716101392,nHbKz68csxB8,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201651361,mobile-app,1
ACCRA EAST,Adenta ,23-04-1999,20,P161126352,702302257,nhcbEdzKFTbp,vodafone,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200231715,mobile-app,1
ASHANTI SOUTH,Bekwai ,15-05-1999,1096,101052693,719433608,2gcapmghpe,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,staffportal,1
ACCRA EAST,Roman Ridge ,23-05-1999,1000,24381864,701529939,2.31E+11,TGLPMT,POSTPAID,NON-SLT,NON-SLT,OLTPV,1,0,paid,,,oltpv,1
ACCRA WEST,Bortianor ,25-04-1999,10,P19323188,728934239,WgNQBYZFehqG,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202926451,mobile-app,1
TEMA,Nungua ,23-04-1999,50,P191103281,712167409,NhWeBKm2JJTf,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201238076,USSD,1
TEMA,South Tema ,23-04-1999,48,P191110538,741657591,nJHeXXztnhfB,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204267032,mobile-app,1
ACCRA EAST,Mampong ,25-04-1999,200,P8316260,701786793,wGPjH5SHMaWE,mtn,SECURE METERS LTD,PREPAID,MOBILE APP,mobilemoney,1,1,success,,200180133,mobile-app,1
TEMA,Afienya ,23-04-1999,20,P161170682,741461487,njWg8mCbXQgG,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204245454,mobile-app,1
ACCRA WEST,Ablekuma ,25-04-1999,70,24912068731,756410311,2kHySM2S8YSs,mtn,MMS-WASION,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205743427,mobile-app,1
ACCRA EAST,Makola ,01-06-1999,1000,211058609,700852404,32qmpc8r5d,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,staffportal,1
TEMA,Afienya ,23-04-1999,40,P191104334,749983968,Nk29kSTpFkzh,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205144381,mobile-app,1
VOLTA,Jasikan ,23-04-1999,620,111062919,715223243,NKAa8KTTp3Qx,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,USSD,1
ACCRA WEST,Nsawam ,23-04-1999,5,P191138050,751793071,NMY7WnSzhyes,mtn,CLOU,PREPAID,MOBILE APP,mobilemoney,1,1,success,,205317163,mobile-app,1
CENTRAL,Ajumako ,23-04-1999,20,141271671,750118330,npazDZxMynEM,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,mobile-app,1
ACCRA WEST,Amasaman ,23-04-1999,30,P171061436,745924384,NqxTdSpBB9N7,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204721518,mobile-app,1
ACCRA WEST,Bortianor ,26-04-1999,3,P171046678,729847873,KtxJNW6jGY4g,mtn,MBH POWER,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202963471,mobile-app,1
CENTRAL,Ajumako ,26-05-1999,250,151036284,708689214,dx6rYDdB6acq,mtn,POSTPAID,NON-SLT,NON-SLT,mobilemoney,1,1,completed,,,USSD,1
TEMA,Nungua ,23-04-1999,40,P191058905,727212903,Nr22SExxCjX7,airteltigo,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,202747388,mobile-app,1
TEMA,North Tema ,23-04-1999,300,P191114145,711825680,NT4G9r4GyAbM,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201204023,mobile-app,1
TEMA,South Tema ,23-04-1999,19,P191149933,712519847,ntBpkgd5MZJz,mtn,CLOU NEW,PREPAID,MOBILE APP,mobilemoney,1,1,success,,201271662,mobile-app,1
EASTERN,Suhum ,02-03-1999,2623.689941,201199430,723837439,2.30E+14,Ghana.GOV,POSTPAID,NON-SLT,NON-SLT,ghana.gov,1,0,paid,,,mobile-app,1
CENTRAL,Cape-Coast ,13-06-1999,100,,746959115,229ge8jgbn,ECG,POSTPAID,NON-SLT,POS,POS Balance,1,0,paid,,,offlineCashier,1
TEMA,Prampram ,25-04-1999,30,P20312933,747812691,WGTnXX3bHCTb,mtn,Nuri,PREPAID,MOBILE APP,mobilemoney,1,1,success,,204910557,mobile-app,1
CENTRAL,Winneba ,25-04-1999,30,P20313470,731087457,wGYZgwEsEKes,mtn,KAIFA,PREPAID,MOBILE APP,mobilemoney,1,1,success,,203150099,mobile-app,1
